PROCEDIMENTO;OGGETTO;TIPOINTERVENTO;DATAINIZIOPRESUNTA;DATAFINEPRESUNTA;LISTALOCALIZZAZIONI;LONGITUDINE;LATITUDINE;Location
SCIA alternativa a PDC;CORSO MAGENTA 78 SCIA ALTERNATIVA AL PDC - recupero seminterrato ai sensi della L.R. n. 7/17 - diversa distribuzione spazi interni piano terra, sostituzione vetrine e recupero seminterrato - in C.so Magenta, 78;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001)+SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2019-03-29T00:00:00.000+01:00;2022-03-29T00:00:00.000+02:00;CORSO MAGENTA N.  78;9.16913326715;45.4657440942;45.4657440942, 9.16913326715
SCIA alternativa a PDC;MODIFICA TAVOLATI INTERNI E PARTINENZE ESTERNE CON CAMBIO USO DA LABORATORIO A  RESIDENZA E RECUPERO DEL SOTTOTETTO ESISTENTE A VARIANTE DI SCIA WF 37326/2017.;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2019-03-29T00:00:00.000+01:00;2022-03-29T00:00:00.000+02:00;VIA LANFRANCO DELLA P N.  1  PIANO T e 1;9.19536719602;45.5168298159;45.5168298159, 9.19536719602
SCIA Condizionata alternativa a PDC;Demolizione di fabbricati a destinazione mista industriale/residenziale  esistenti e ricostruzione di edificio residenziale con la stessa SLP;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2019-03-29T00:00:00.000+01:00;2022-03-29T00:00:00.000+02:00;VIA MONTALBINO N.  9 / 6;9.19312531357;45.4979043967;45.4979043967, 9.19312531357
comunicazione inizio attività edilizia libera;manutenzione straordinaria;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2019-03-29T00:00:00.000+01:00;2022-03-29T00:00:00.000+02:00;VIA BASSI UGO N.  1  PIANO terra;9.18382346503;45.4888671595;45.4888671595, 9.18382346503
SCIA Unica alternativa a PDC;via Piacenza, 6 - Recupero di sottotetto con annessione a U.I. sottostante;SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2019-03-28T00:00:00.000+01:00;2022-03-28T00:00:00.000+02:00;VIA PIACENZA N.  6;9.20381386271;45.4488301374;45.4488301374, 9.20381386271
autorizzazione;  VIA VARESE N.  17  PIANO T- Realizzazione di nuovo impianto ascensore interno- ;PDC 1.4 interventi assoggettati a SCIA per i quali (Art. 22 - c. 7 DPR 380/01) e' facolta' dell'avente titolo richiedere il rilascio del permesso di costruire (*). Specificare il tipo d'intervento: .........................................................................................;2019-03-26T00:00:00.000+01:00;2023-03-26T00:00:00.000+01:00;VIA VARESE N.  17  PIANO T;9.18426887381;45.4799158268;45.4799158268, 9.18426887381
comunicazione inizio attività edilizia libera;RISANAMENTO CONSERVATIVO CON CAMBIO USO DA LABORATORIO ED UFFICI A RESIDENZIALE  CON OPERE EDILI PER LA FORMAZIONE DI N. 4 UNITA' IMMOBILIARI;CILA 2 -  Interventi di restauro e risanamento conservativo di cui all'articolo 3 - comma 1 - lettera c) del d.P.R. n. 380/2001 qualora non riguardino parti strutturali dell'edificio (Attività n. 5 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222);2019-03-24T00:00:00.000+01:00;2022-03-24T00:00:00.000+01:00;VIA DEI CROLLALANZA N.  7  PIANO T;9.16534306916;45.445775865;45.445775865, 9.16534306916
SI-SCIA;SCIA art. 22 IN VARIANTE alla PRATICA PG 604160/2016 del 29/11/2016 Prog.  25448/2016 Opere di abbattimento barriere architettoniche e riqualificazione funzionale  parti comuni, aree esterne ed interne.  Immobile direzionale sito in Via Benigno Crespi n° 57.;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2019-03-24T00:00:00.000+01:00;2022-03-24T00:00:00.000+01:00;VIA CRESPI BENIGNO N.  57;9.18475539359;45.5037631279;45.5037631279, 9.18475539359
comunicazione inizio attività edilizia libera;PIAZZALE BIANCAMANO N.  2     MODIFICA DELLA GABBIA DI FERRO E MODIFICA DEI TAVOLATI INTERNI****UNITI ANTECEDENTI SCIA WF 1628/18 ;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2019-03-23T00:00:00.000+01:00;2022-03-23T00:00:00.000+01:00;PIAZZALE BIANCAMANO N.  2;9.18152512668;45.4779251917;45.4779251917, 9.18152512668
SCIA alternativa a PDC;SCIA per ristrutturazione edilizia dell'appartamento sito in Piazzale Cadorna  9, sub. 78, piano settimo;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2019-03-23T00:00:00.000+01:00;2022-03-23T00:00:00.000+01:00;PIAZZALE CADORNA LUIG N.  9  PIANO 7;9.17642496537;45.4676762317;45.4676762317, 9.17642496537
SCIA alternativa a PDC;RECUPERO ABITATIVO DI SOTTOTETTO(ART. 63/64/65 LR 12/05) E VARIAZIONE DI  DESTINAZIONE D'USO DI UNITA' IMMOBILIARE ESISTENTE. A VARIANTE PROGR. 28162/2018;SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2019-03-22T00:00:00.000+01:00;2022-03-22T00:00:00.000+01:00;VIA GALLARATE N.  145;9.12890303836;45.498060387;45.498060387, 9.12890303836
SCIA;SCIA A VARIANTE SCIA RIF. W.F. 27181/18  -  Via Imbonati, 6;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2019-03-21T00:00:00.000+01:00;2022-03-21T00:00:00.000+01:00;VIA IMBONATI CARLO N.  6;9.18426041393;45.4989251786;45.4989251786, 9.18426041393
SCIA Condizionata alternativa a PDC;- SCIA condizionata  in variante - SCIA CONDIZIONATA ALLA DEROGA PER MISURA ASCENSORI -  Opere di realizzazione di cabine ascensori in deroga dimensionale all'interno di vani strutturali esistenti non modificabili - A TITOLO GRATUITO -;SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2019-03-20T00:00:00.000+01:00;2022-03-20T00:00:00.000+01:00;PIAZZA S. AMBROGIO N.  4;9.17513898942;45.4639717851;45.4639717851, 9.17513898942
SP-SCIA;SCIA VIA GIAN BATTISTA PASSERINI, 13;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2019-03-20T00:00:00.000+01:00;2022-03-20T00:00:00.000+01:00;VIA PASSERINI GIAN BA N.  13;9.19237013578;45.5151672854;45.5151672854, 9.19237013578
SCIA Condizionata;SCIA Condizionata  per recupero seminterrato L.R. 7/2017 - in Via A. Borgese, 14-NO SCONTO;SCIA Art. 22 dpr 380/01: 3 interventi di ristrutturazione edilizia (leggera) di cui all'articolo 3  comma 1  lettera d) del DPR 380/01 rivolti a trasformare gli organismi edilizi mediante un insieme sistematico di opere che possono portare ad un organismo edilizio in tutto o in parte diverso dal precedente ad esclusione dei casi di cui all'art. 10 comma 1 lettera c) del D.P.R. 380/2001 (Attività n. 7 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera c) del d.P.R. n. 380/01 );2019-03-18T00:00:00.000+01:00;2022-03-18T00:00:00.000+01:00;VIA BORGESE GIUSEPPE N.  14;9.16959015024;45.4891499393;45.4891499393, 9.16959015024
SCIA alternativa a PDC;ristrutturazione edilizia con traslazione di superficie fuori sagoma e cambio  d'uso;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2019-03-18T00:00:00.000+01:00;2022-03-18T00:00:00.000+01:00;VLE BLIGNY N.  28;9.1913044612;45.4508059422;45.4508059422, 9.1913044612
SCIA Condizionata alternativa a PDC;Ristrutturazione edilizia con demolizione e ricostruzione fuori sagoma e  traslazione di SLP di una porzione di edificio secondo quanto valutato  favorevolmente dalla Commissione per il Paesaggio in relazione alle linee di  indirizzo. Riorganizzazione delle sistemazioni esterne e dell'autorimessa  interrata.;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2019-03-17T00:00:00.000+01:00;2022-03-17T00:00:00.000+01:00;VIA BASSI UGO N.  2;9.18301430973;45.488477265;45.488477265, 9.18301430973
comunicazione inizio attività edilizia libera;cila a vARIANTE DWL WF.14098/17 VIA J. DA TRADATE 7;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2019-03-17T00:00:00.000+01:00;2022-03-17T00:00:00.000+01:00;VIA JACOPINO DA TRADA N.  7;9.15131764994;45.4952869537;45.4952869537, 9.15131764994
SI-SCIA;CORSO DI PORTA TICINE N.  50  PIANO T      Fusione di n° 2 unità abitative ed una cantina operata mediante la  realizzazione di una scala interna e di una diversa distribuzione dei muri  partizionali. Modifiche in facciata;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2019-03-16T00:00:00.000+01:00;2022-03-16T00:00:00.000+01:00;CORSO DI PORTA TICINE N.  50  PIANO T;9.18073239339;45.4566667711;45.4566667711, 9.18073239339
SCIA alternativa a PDC;Recupero seminterrato ai sensi della Legge Regionale n° 7/2007 di locali ad uso  magazzino da trasformarsi in residenza.;SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2019-03-16T00:00:00.000+01:00;2022-03-16T00:00:00.000+01:00;VIA TITO LIVIO N.  13;9.21698606513;45.4517793911;45.4517793911, 9.21698606513
SCIA alternativa a PDC;recupero sottotetto senza modifica di sagoma;SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2019-03-15T00:00:00.000+01:00;2022-03-15T00:00:00.000+01:00;VIA MAFFUCCI ANGIOLO N.  67  PIANO t-1;9.17025482193;45.5026062667;45.5026062667, 9.17025482193
autorizzazione;via tadino 17 scala 3 - pdc in deroga riguardante le seguenti opere: installazione di un impianto elevatore interno al vano scala di un immobile residenziale esistente.;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici;2019-03-06T00:00:00.000+01:00;2023-03-06T00:00:00.000+01:00;VIA TADINO ALESSANDRO N.  17;9.20711694116;45.4786151667;45.4786151667, 9.20711694116
SCIA Condizionata alternativa a PDC;SCIA ALTERNATIVA AL PDC - Ristr. Edil. opere m. s. e ristr. quali abbattimento barriere architettoniche, rifacimento quote cortile e pavimentazione, chiusura portico sotto cappella come nuova superficie a servizi - in Via G. De Martino, 2;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2019-03-06T00:00:00.000+01:00;2022-03-06T00:00:00.000+01:00;VIA DE MARTINO EMILIO N.  2;9.19835045015;45.5082578521;45.5082578521, 9.19835045015
SCIA alternativa a PDC;intervento di manutenzione straordinaria con recupero di sottotetto ad uso  abitativo, in variante al progetto esistente attualmente PG 576507 del  20-12-2017 a firma dell'Arch. Cesare Galligani (tecnico uscente per volontà del  committente);SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2019-03-03T00:00:00.000+01:00;2022-03-03T00:00:00.000+01:00;VIA CASSINO N.  7 INTERNO 1  PIANO 1°;9.13778925591;45.4836038187;45.4836038187, 9.13778925591
comunicazione inizio attività edilizia libera;Smantellamento delle attrezzature sopra e sotto suolo presso l'impianto di  distribuzione carburanti sito in via Asiago 6 milano;CILA 8 -  Altri interventi non riconducibili all'elenco di cui agli articoli 6/10/22 del d.P.R. 6 giugno 2001 n. 380 [Attività n. 30 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222] (specificare il tipo di intervento) ..........................................................................................................................................;2019-03-02T00:00:00.000+01:00;2022-03-02T00:00:00.000+01:00;VIA ASIAGO N.  6  PIANO PT;9.22620396374;45.5052302561;45.5052302561, 9.22620396374
SCIA;SCIA A VARIANTE SCIA - RIF. W.F. 29279/18 - in Via S. Ussi, 17;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2019-03-02T00:00:00.000+01:00;2022-03-02T00:00:00.000+01:00;VIA USSI STEFANO N.  17  PIANO 5;9.20912616123;45.5074681538;45.5074681538, 9.20912616123
SCIA alternativa a PDC;FUSIONE 2 SOTTOTETTI E CONTESTUALE RECUPERO AD USO ABITATIVO E RELATIVO COLLEGAMENTO COL PIANO TERZO;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2019-03-02T00:00:00.000+01:00;2022-03-02T00:00:00.000+01:00;VIA MANTOVA N.  6;9.20653234381;45.4483122588;45.4483122588, 9.20653234381
